id,DEPARTAMENTO,MUNICIPIO_ID,CODIGO_DANE_MUNICIPIO,mpio,TITULO,CAPITULO,ARTICULO,AÑO_ACTUACION
1946,CALDAS,486,17486,NEIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2014
1947,CALDAS,486,17486,NEIRA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2015
1948,CAUCA,1,19001,POPAYAN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1949,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2016
1950,GUAVIARE,25,95025,EL RETORNO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1951,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
1952,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2016
1953,TOLIMA,1,73001,IBAGUE,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2013
1954,VALLE DEL CAUCA,834,76834,TULUA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2016
1955,BOYACA,238,15238,DUITAMA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
1956,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2014
1957,SANTANDER,162,68162,CERRITO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1958,CESAR,178,20178,CHIRIGUANA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2013
1959,MAGDALENA,1,47001,SANTA MARTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2017
1960,NARIÑO,356,52356,IPIALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
1961,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO PROPIO ART. 405 C.P.,2017
1962,HUILA,1,41001,NEIVA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2016
1963,QUINDIO,1,63001,ARMENIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2014
1964,CESAR,1,20001,VALLEDUPAR,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2017
1965,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2015
1966,RISARALDA,170,66170,DOSQUEBRADAS,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1967,VALLE DEL CAUCA,109,76109,BUENAVENTURA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL CONTRABANDO,FAVORECIMIENTO POR SERVIDOR PUBLICO DE CONTRABANDO DE HIDROCARBUROS Y SUS DERIVADOS ART. 322-1 C.P.INCISO 1,2014
1968,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
1969,CESAR,1,20001,VALLEDUPAR,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2017
1970,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2014
1971,META,1,50001,VILLAVICENCIO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2015
1972,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
1973,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2013
1974,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2013
1975,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1976,SANTANDER,162,68162,CERRITO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1977,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2017
1978,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
1979,RISARALDA,88,66088,BELEN DE UMBRIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
1980,TOLIMA,1,73001,IBAGUE,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2017
1981,TOLIMA,1,73001,IBAGUE,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1982,CHOCO,1,27001,QUIBDO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2015
1983,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2015
1984,SANTANDER,81,68081,BARRANCABERMEJA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2015
